case:sel2	"'y'"
case:nav-of-head-o2	"(('o2', 'b'))"
case:nav-of-single	"(('o1', 'a'))"
case:row-resolve-hole	"('o1', 'x', '#')"
case:row-resolve-idempotent	"('o1', 'x', '#')"
case:row-resolve-conflict	"<refused>"
case:transitions-of-first	"(('In Cart', 'pay', 'Paid'))"
case:transitions-of-mid	"(('Paid', 'ship', 'Shipped'))"
case:transitions-of-terminal	"()"
case:governed-player	"'Order'"
case:governed-player-none	"()"
case:pass-order	"((1, 'agg'), (2, 'keyed'), (3, 'sweep'), (4, 'dred'))"
case:pass-bound	"((12))"
case:mandatory-implied-holds	"()"
case:mandatory-implied	"(('c'))"
case:equality-side-both	"(('a'), ('c'))"
case:equality-side-right-only	"(('c'))"
case:equality-side-equal	"()"
case:mandatory-facts-violates	"(('c'))"
case:mandatory-facts-holds	"()"
case:mandatory-facts-wide	"()"
case:scoped-exclusive-or-clean	"()"
case:scoped-exclusive-or-mixed	"(('c'), ('b'))"
case:scoped-inclusive-or-violates	"(('c'))"
case:scoped-inclusive-or-empty-scope	"(('a'), ('c'))"
case:scoped-exclusion-violates	"(('b', 'P'), ('b', 'Q'))"
case:scoped-exclusion-holds	"()"
case:scoped-exclusion-same-pop	"()"
case:scoped-subset-violates	"(('c'))"
case:scoped-subset-holds	"()"
case:scoped-subset-empty-super	"(('a'), ('c'))"
case:compile-rule	"('COMP', ('COMP', 'theta:dedup', ('ALPHA', ('CONS', 1))), ('COND', ('COMP', 'eq', ('CONS', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'F1'), 'id')), ('CONST', '#'))), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COND', 'null', ('CONST', '#'), ('COMP', 3, 1)), ('COMP', ('INSERT', ('COND', ('COMP', ('COND', ('COMP', 'not', 'atom'), ('COND', ('COMP', 'eq', ('CONS', 'length', ('CONST', 3))), ('COMP', 'eq', ('CONS', 2, ('CONST', 'FILE'))), ('CONST', 'F')), ('CONST', 'F')), 1), 'apndl', 2)), 'theta:append_phi')), ('CONST', '#'))), ('CONST', ()), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'F1'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id'))), ('CONST', '#'))), ('CONST', ()), ('COMP', ('COMP', 'main:flat', ('ALPHA', 'ast:pop_exp')), ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'F1'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id')))))), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'F1'), 'id'))))"
case:compile-rule-delta	"('COMP', ('COMP', 'theta:dedup', ('ALPHA', ('CONS', 1))), 1)"
case:compile-rule-delta-1of2	"('COMP', ('COMP', 'theta:dedup', ('ALPHA', ('CONS', 1))), ('COMP', ('theta:natjoin', 1), ('CONS', 1, ('COMP', ('COND', ('COMP', 'eq', ('CONS', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'F2'), 'id')), ('CONST', '#'))), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COND', 'null', ('CONST', '#'), ('COMP', 3, 1)), ('COMP', ('INSERT', ('COND', ('COMP', ('COND', ('COMP', 'not', 'atom'), ('COND', ('COMP', 'eq', ('CONS', 'length', ('CONST', 3))), ('COMP', 'eq', ('CONS', 2, ('CONST', 'FILE'))), ('CONST', 'F')), ('CONST', 'F')), 1), 'apndl', 2)), 'theta:append_phi')), ('CONST', '#'))), ('CONST', ()), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'F2'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id'))), ('CONST', '#'))), ('CONST', ()), ('COMP', ('COMP', 'main:flat', ('ALPHA', 'ast:pop_exp')), ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'F2'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id')))))), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'F2'), 'id'))), 2))))"
case:compile-rule-delta-2of2	"('COMP', ('COMP', 'theta:dedup', ('ALPHA', ('CONS', 1))), ('COMP', ('theta:natjoin', 1), ('CONS', ('COMP', ('COND', ('COMP', 'eq', ('CONS', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'F1'), 'id')), ('CONST', '#'))), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COND', 'null', ('CONST', '#'), ('COMP', 3, 1)), ('COMP', ('INSERT', ('COND', ('COMP', ('COND', ('COMP', 'not', 'atom'), ('COND', ('COMP', 'eq', ('CONS', 'length', ('CONST', 3))), ('COMP', 'eq', ('CONS', 2, ('CONST', 'FILE'))), ('CONST', 'F')), ('CONST', 'F')), 1), 'apndl', 2)), 'theta:append_phi')), ('CONST', '#'))), ('CONST', ()), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'F1'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id'))), ('CONST', '#'))), ('CONST', ()), ('COMP', ('COMP', 'main:flat', ('ALPHA', 'ast:pop_exp')), ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'F1'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id')))))), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'F1'), 'id'))), 2), 1)))"
case:compile-rule-neg	"('COMP', ('COMP', 'theta:dedup', ('ALPHA', ('CONS', 1))), ('COMP', ('COMP', 'theta:dedup', ('ALPHA', ('CONS', 1))), ('COND', ('COMP', 'eq', ('CONS', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'F1'), 'id')), ('CONST', '#'))), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COND', 'null', ('CONST', '#'), ('COMP', 3, 1)), ('COMP', ('INSERT', ('COND', ('COMP', ('COND', ('COMP', 'not', 'atom'), ('COND', ('COMP', 'eq', ('CONS', 'length', ('CONST', 3))), ('COMP', 'eq', ('CONS', 2, ('CONST', 'FILE'))), ('CONST', 'F')), ('CONST', 'F')), 1), 'apndl', 2)), 'theta:append_phi')), ('CONST', '#'))), ('CONST', ()), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'F1'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id'))), ('CONST', '#'))), ('CONST', ()), ('COMP', ('COMP', 'main:flat', ('ALPHA', 'ast:pop_exp')), ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'F1'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id')))))), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'F1'), 'id')))))"
case:keyof-scheme-last	"'person_nr'"
case:keyof-default	"'van_id'"
case:ddl-ref	"' REFERENCES \"Person\"(\"person_nr\")'"
case:ddl-ref-spaced	"' REFERENCES \"Order Line\"(\"order_nr\")'"
case:rolegroups	"(('F1', ((1, 'Thing'), (2, 'Widget'))), ('F2', ((1, 'Other'))))"
case:role-maxpos	"3"
case:role-maxpos-wide3	"4"
case:role-maxpos-none	"2"
case:rolesof-guards	"((1, 'Thing'), (3, 'Widget'))"
case:rolesof	"((1, 'Thing'), (2, 'Widget'))"
case:rolesof-tie	"((1, 'Beta'), (1, 'Alpha'))"
case:colsof	"('ftA', 'ftC')"
case:coldisamb	"('a', 'b', 'a_2', 'a_3', 'c')"
case:ddl-order	"('orphan', 'parent', 'self', 'child')"
case:ddl-order-cycle	"('a', 'b')"
case:strdown	"'abc'"
case:ddlname-plain	"'person_name'"
case:ddlname-guard	"'t_sqlite_fact_base'"
case:rmap-ddl-entity	"'CREATE TABLE IF NOT EXISTS \"person\" (\n    \"person_id\" TEXT PRIMARY KEY,\n    \"is_active\" BOOLEAN\n);'"
case:rmap-ddl-relation	"'CREATE TABLE IF NOT EXISTS \"likes\" (\n    \"person_id\" TEXT REFERENCES \"person\"(\"person_id\"),\n    \"thing_id\" TEXT,\n    PRIMARY KEY (\"person_id\", \"thing_id\")\n);'"
case:rmap-wide-row-mixed	"('a', (('x')), ())"
case:vb-fetch-absorbed	"(('p1', 'Ada'))"
case:vb-fetch-total	"()"
case:dynfetch	"('p1', 'Ada')"
case:vb-colrow	"(('P', 2, 'P_has_N'))"
case:ftpop-absorbed-mini	"(('p1', 'Ada'))"
case:sel-str	"<refused>"
case:ftpop-fetch-mini	"(('p1'))"
case:ftpop-pairsel-mini	"('p1', 'Ada')"
case:lex-words	"(('Each', 'Each', 'Each', '', 'each', '', 'T', 'Each', 'F', 0), ('Task1', 'Task1', 'Task', '1', 'task1', '', 'T', 'Task1', 'F', 0), ('occurs.', 'occurs', 'occurs', '', 'occurs.', '', 'F', 'occurs.', 'F', 0))"
case:lex-quoted	"(('Status', 'Status', 'Status', '', 'status', '', 'T', 'Status', 'F', 0), (''In', ''In', ''In', '', ''in', 'In', 'F', ''In', 'T', 1), ('Cart'', 'Cart'', 'Cart'', '', 'cart'', 'Cart', 'T', 'Cart'', 'T', 1), ('is', 'is', 'is', '', 'is', '', 'F', 'is', 'F', 0), ('to', 'to', 'to', '', 'to', '', 'F', 'to', 'F', 0), ('Status', 'Status', 'Status', '', 'status', '', 'T', 'Status', 'F', 0), (''Placed'.', ''Placed'', ''Placed'', '', ''placed'.', 'Placed', 'F', ''Placed'.', 'T', 2))"
case:lex-hyphen	"(('Layer', 'Layer', 'Layer', '', 'layer', '', 'T', 'Layer', 'F', 0), ('has', 'has', 'has', '', 'has', '', 'F', 'has', 'F', 0), ('valence-', 'valence-', 'valence-', '', 'valence-', '', 'F', 'valence', 'F', 0), ('Coord', 'Coord', 'Coord', '', 'coord', '', 'T', 'Coord', 'F', 0), ('and', 'and', 'and', '', 'and', '', 'F', 'and', 'F', 0), ('Type', 'Type', 'Type', '', 'type', '', 'T', 'Type', 'F', 0), ('-adj', '-adj', '-adj', '', '-adj', '', 'F', 'adj', 'F', 0), ('and', 'and', 'and', '', 'and', '', 'F', 'and', 'F', 0), ('FORE--', 'FORE--', 'FORE--', '', 'fore--', '', 'T', 'FORE-', 'F', 0), ('WORD', 'WORD', 'WORD', '', 'word', '', 'T', 'WORD', 'F', 0), ('and', 'and', 'and', '', 'and', '', 'F', 'and', 'F', 0), ('from-Status', 'from-Status', 'from-Status', '', 'from-status', '', 'F', 'from-Status', 'F', 0))"
case:implode-tpl	"'{0} was {1}'"
case:implode-us	"'a_b'"
case:slug-reading	"'Order_was_placed_by_Customer'"
case:slug-hyphen	"'place_receipt'"
case:reading-parse	"('{0} was placed by {1}', ('Order', 'Customer'))"
case:reading-parse-munch	"('{0} has {1}', ('Event Type', 'Name'))"
case:con-text-uc	"'Each Person has at most one Name.'"
case:con-text-mc	"'Each Person has some Name.'"
case:con-text-deontic	"'c4.'"
case:con-text-unary	"()"
case:con-text-other	"()"
case:con-pair-uc	"('UC', 'Each Person has at most one Name.')"
case:con-pair-mc	"('MC', 'Each Person has some Name.')"
case:con-pair-deontic	"('UC', 'c4.')"
case:dsl-row	"('Task', 'entity', ('a reading', 'b reading'), (('MC', 'a sentence'), ('UC', 'z sentence')), (('t1', 'f', 'y'), ('t2', 'f', 'x')))"
case:ot-kinds	"(('Alpha', 'entity'), ('Name', 'value'), ('Task', 'entity'))"
case:subset-cfiltered	"(('s_bad'))"
case:machine-fold	"'c'"
case:mgreedy-fold	"'c'"
case:mgreedy-order	"'c'"
case:mgreedy-repeat	"'a'"
case:mgreedy-none	"'a'"
case:mf-keys	"('t2', 't3', 't1')"
case:mf-keys-absent	"()"
case:mf-entity-fires	"('T', 'c')"
case:mf-entity-init	"('T', 'c')"
case:mf-entity-quiet	"('F', 'a')"
case:mf-entity-roundtrip	"('F', 'a')"
case:mf-entity-roundtrip-init	"('T', 'a')"
case:mf-evkeys-pos1	"('t1', 't2', 't3', 't4')"
case:mf-evkeys-pos2	"('x', 'y')"
case:mf-evkeys-absent	"()"
case:h-finality	"((('finality', ('Task', 3))), ())"
case:h-finality-zero	"((('finality', ('X', 0))), ())"
case:subset-proj	"((1, 2), (2, 1))"
case:subset-proj-dup	"((), ())"
case:subset-proj-reorder	"((1, 3), (2, 1))"
case:h-possibility	"((('possibility', ('some Order is shipped', 'possible'))), ())"
case:h-possibility-nec	"((('possibility', ('some Order is shipped', 'necessary'))), ())"
case:brace-excl	"(('constraint', ('sxc_ab', 'exclusion', 'A', ('A', 'B'), '')), ('subtypePartition', ('A', 'X')), ('subtypePartition', ('B', 'X')))"
case:brace-excl-three	"(('constraint', ('sxc_pqr', 'exclusion', 'P', ('P', 'Q', 'R'), 'obligatory')), ('subtypePartition', ('P', 'Party')), ('subtypePartition', ('Q', 'Party')), ('subtypePartition', ('R', 'Party')))"
case:subset-specs	"(('c1', 'constraints:scoped_subset_projected', ('B_ft', (1, 2), (2, 1))))"
case:subset-specs-two	"(('c1', 'constraints:scoped_subset_projected', ('B_ft', (1, 2), (2, 1))), ('c2', 'constraints:scoped_subset_projected', ('B_ft', (1, 2), (2, 1))))"
case:h-dispatch	"((('finality', ('Task', 3))), ())"
case:h-dispatch-modal	"((('possibility', ('some X', 'necessary'))), ())"
case:h-dispatch-unknown	"((), ())"
case:mf-bysft	"(('s1', (('e1', 'open'), ('e2', 'done'))), ('s2', (('e3', 'x'))))"
case:mf-bysft-interleaved	"(('s2', (('a', 'p'), ('c', 'r'))), ('s1', (('b', 'q'))))"
case:mf-evpos	"1"
case:mf-evpos-second	"2"
case:replay-barrier-plain	"'F'"
case:replay-barrier-trigger	"'T'"
case:replay-barrier-retract	"'T'"
case:classify-order	"('entity_type', 'value_type', 'ref_scheme', 'ref_mode', 'data_type', 'sm_def', 'sm_initial', 'sm_from', 'sm_to', 'sm_trigger', 'sm_guard', 'sm_emit', 'sm_moore', 'value_constraint', 'spanning_uc', 'spanning_uc2', 'for_each_mandatory', 'frequency', 'ring', 'subtype_of', 'brace_subtypes', 'objectification', 'set_comparison', 'neg_uniqueness', 'neg_mandatory', 'disjunctive_mandatory', 'inverse_uc', 'subset', 'class_rule', 'equality', 'rule_if', 'rule_iff', 'derivation_rule', 'neg_uniqueness', 'neg_mandatory', 'disjunctive_mandatory', 'uniqueness', 'mandatory', 'finality', 'neg_pair', 'negation', 'subset_trailing', 'fact_type_reading')"
case:id-sentinel-ok	"'F'"
case:id-sentinel-empty	"'T'"
case:id-sentinel-phi	"'T'"
case:id-sentinel-norow	"'F'"
case:id-sentinel-late	"'F'"
case:write-refused-error	"'T'"
case:write-refused-unchanged	"'T'"
case:write-committed	"'F'"
case:role1-player	"'Task'"
case:role1-player-norole1	"<refused>"
case:governing-noun	"'Employee'"
case:governing-noun-self	"'Task'"
case:status-ft	"'Task_has_Status'"
case:status-ft-none	"()"
case:machine-of	"'EmpMachine'"
case:machine-of-fallback	"'TaskMachine'"
case:machine-of-none	"()"
case:initial-status	"'open'"
case:initial-status-none	"()"
case:has-status-moved	"'T'"
case:has-status-absent	"'F'"
case:slot-filled	"'T'"
case:slot-hash	"'F'"
case:slot-short	"'F'"
case:noun-roles	"(('P_manages_P', 1, '{0} manages {1}'), ('P_manages_P', 2, '{0} manages {1}'), ('P_has_Name', 1, ''))"
case:noun-roles-none	"()"
case:ft-table	"'Person'"
case:ft-table-own	"'Standalone_ft'"
case:is-trigger	"'T'"
case:is-trigger-machine	"'F'"
case:is-trigger-plain	"'F'"
case:trigger-fts	"('OrderShipped', 'TaskFinished')"
case:ft-roles	"((1, 'Person'), (2, 'Person'))"
case:ft-roles-absent	"()"
case:ft-arity-unary	"1"
case:ft-arity-ternary	"3"
case:ft-arity-none	"2"
case:col-pos-first	"2"
case:col-pos-second	"3"
case:supertypes-of	"('Person')"
case:subtypes-of	"('Intern', 'Manager')"
case:supertypes-of-root	"()"
case:vals-of-many	"('ObjectType', 'Thing')"
case:vals-of-absent	"()"
case:governance-plans	"(('governedBy_rule_base', ('smDef'), (2, 1), 'governedBy'), ('governedBy_rule_step', ('subtype', 'governedBy'), (1, 3), 'governedBy'))"
case:reading-parse-hyphen	"('{0} has valence {1} local and FORE- WORD and from-Status', ('Layer', 'Coord'))"
case:reading-ftid	"'Order_was_placed_by_Customer'"
case:skolem-mints-frontier-id	"<refused>"
case:skolem-empty-frontier-bottoms	"<refused>"
case:escape-html-entities	"'a&lt;b&gt;&amp;&quot;c'"
case:escape-html-int-refuses	"<refused>"
case:sqlcol-unary-strips-noun	"'is_started'"
case:sqlcol-ref-joins-mode	"'customer_nr'"
case:sqlcol-value-names-player	"'task_priority'"
case:sqlcol-dedup-suffixes-second	"'task_priority_2'"
case:entity-view-canonical	"('T', (('is_started', 'T'), ('Task Priority', 'p2')), ())"
case:entity-view-role2-key	"('T', (('Support Response', 's1')), ())"
case:rmap-cone-transitive	"('Function', 'Noun', 'Resource', 'Status', 'Verb')"
case:rmap-cone-leaf	"('Status')"
case:rmap-conepos	"(('Status_has_HTTP_Method', 1))"
case:entity-view-subtype-noun	"('T', (('HTTP Method', 'DELETE')), ())"
case:read-parse-witness	"((('SaleContainsItemInQuantity', ('Sale', 'Item', 'Quantity'))), (('SaleContainsItemInQuantity', ('Sale', 'Item', 'Quantity'), ((1, 2)), (), (()))), ())"
case:read-uc-compact	"((('SaleHasQuantity', ('Sale', 'Quantity'))), (('SaleHasQuantity', ('Sale', 'Quantity'), ((1)), (), (()))), ())"
case:read-uc-separated	"((('SaleHasQuantity', ('Sale', 'Quantity')), ('SaleHasPrice', ('Sale', 'Price'))), (('SaleHasQuantity', ('Sale', 'Quantity'), ((1)), (), (())), ('SaleHasPrice', ('Sale', 'Price'), ((1)), (), (()))), ())"
case:read-mandatory	"((('SaleHasQuantity', ('Sale', 'Quantity')), ('SaleHasPrice', ('Sale', 'Price'))), (('SaleHasQuantity', ('Sale', 'Quantity'), (), ((1)), (())), ('SaleHasPrice', ('Sale', 'Price'), ((1)), (), (()))), ())"
case:read-declarations	"((('OSIIsASubtypeOfLayeredSystem', ('OSI', 'Layered System')), ('ThePossibleValuesOfPDUNameAreBit,Frame', ('P D U Name')), ('LayerHasPDUName', ('Layer', 'P D U Name'))), (('LayerHasPDUName', ('Layer', 'P D U Name'), ((1)), (), (()))), (('OSIIsASubtypeOfLayeredSystem', ('OSI', 'Layered System'), ('subtype')), ('ThePossibleValuesOfPDUNameAreBit,Frame', ('P D U Name'), ('values'))))"
case:read-deontic	"((('SaleHasQuantity', ('Sale', 'Quantity')), ('ItIsObligatoryThatEachSaleHasSomeQuantity', ('Sale', 'Quantity')), ('ItIsForbiddenThatTheSameSaleHasMoreThanOneQuantity', ('Sale', 'Quantity'))), (('SaleHasQuantity', ('Sale', 'Quantity'), ((1)), (), (()))), (('ItIsObligatoryThatEachSaleHasSomeQuantity', ('Sale', 'Quantity'), ('deontic_obligatory')), ('ItIsForbiddenThatTheSameSaleHasMoreThanOneQuantity', ('Sale', 'Quantity'), ('deontic_forbidden'))))"
case:read-ring	"((('ElementTransformsToElement', ('Element', 'Element')), ('ElementTransformsToElement', ('Element', 'Element')), ('ElementTransformsToElement', ('Element', 'Element')), ('DomainReachesDomain', ('Domain', 'Domain')), ('DomainReachesDomain', ('Domain', 'Domain'))), (('ElementTransformsToElement', ('Element', 'Element'), (), (), (())), ('DomainReachesDomain', ('Domain', 'Domain'), (), (), (()))), (('ElementTransformsToElement', ('Element', 'Element'), ('ring_irreflexive')), ('ElementTransformsToElement', ('Element', 'Element'), ('ring_symmetric')), ('DomainReachesDomain', ('Domain', 'Domain'), ('ring_acyclic'))))"
case:read-subset	"((('HumanIssuesOrder', ('Human', 'Order')), ('AgentObeysOrder', ('Agent', 'Order')), ('AgentCausesHarm', ('Agent', 'Harm')), ('ItIsForbiddenThatAgentCausesHarm', ('Agent', 'Harm')), ('ItIsObligatoryThatAgentObeysOrderIfHumanIssuesThatOrder', ('Agent', 'Order', 'Human', 'Order'))), (('HumanIssuesOrder', ('Human', 'Order'), (), (), (())), ('AgentObeysOrder', ('Agent', 'Order'), (), (), (())), ('AgentCausesHarm', ('Agent', 'Harm'), (), (), (()))), (('ItIsForbiddenThatAgentCausesHarm', ('Agent', 'Harm'), ('deontic_forbidden')), ('ItIsObligatoryThatAgentObeysOrderIfHumanIssuesThatOrder', ('Agent', 'Order', 'Human', 'Order'), ('subset', 'deontic'))))"
case:deontic-ledger	"(('It is forbidden that Agent causes Harm', 'Agent_causes_Harm', ('a1', 'h1')), ('It is forbidden that Agent causes Harm', 'Agent_causes_Harm', ('a2', 'h7')))"
case:deontic-ledger-clean	"()"
case:deontic-unhandled	"(('It is forbidden that Agent causes Harm', 'Agent_causes_Harm', ('a2', 'h7')))"
case:coldisamb-before	"('a', 'a_2', 'a_2_2')"
case:coldisamb-after	"('a_2', 'a', 'a_3')"
case:read-population	"((('LayerHasLayerName', ('Layer', 'Layer Name')), ('LayerHasLayerName', ('Layer', 'Layer Name')), ('LayerHasLayerName', ('Layer', 'Layer Name'))), (('LayerHasLayerName', ('Layer', 'Layer Name'), (), (), (()))), (('LayerHasLayerName', ('Layer', 'Layer Name'), ('population', ('OSI-1', 'Physical'))), ('LayerHasLayerName', ('Layer', 'Layer Name'), ('population', ('OSI-2', 'Data Link')))))"
case:probe-refmode-vt	"'Task_id'"
case:probe-refmode-ft	"'Task_has_Task_id'"
case:probe-refmode-uc	"'Task_has_Task_id_uc'"
case:probe-refmode-rows	"(('instanceOf', ('Task_id', 'ValueType')), ('factType', ('Task_has_Task_id', '{0} has {1}')), ('role', ('Task_has_Task_id.1', 'Task_has_Task_id', 1, 'Task')), ('role', ('Task_has_Task_id.2', 'Task_has_Task_id', 2, 'Task_id')), ('constraint', ('Task_has_Task_id_uc', 'uniqueness', 'Task_has_Task_id', 'alethic')), ('spans', ('Task_has_Task_id_uc', 1)), ('constraint', ('Task_has_Task_id_pid', 'uniqueness', 'Task_has_Task_id', 'alethic')), ('spans', ('Task_has_Task_id_pid', 2)), ('constraint', ('Task_has_Task_id_mand', 'mandatory', 'Task_has_Task_id', 'Task', 'alethic')), ('spans', ('Task_has_Task_id_mand', 1)))"
case:refmode-expand-sha	"((('instanceOf', ('Commit', 'ObjectType')), ('refMode', ('Commit', 'sha')), ('instanceOf', ('Commit_sha', 'ValueType')), ('factType', ('Commit_has_Commit_sha', '{0} has {1}')), ('role', ('Commit_has_Commit_sha.1', 'Commit_has_Commit_sha', 1, 'Commit')), ('role', ('Commit_has_Commit_sha.2', 'Commit_has_Commit_sha', 2, 'Commit_sha')), ('constraint', ('Commit_has_Commit_sha_uc', 'uniqueness', 'Commit_has_Commit_sha', 'alethic')), ('spans', ('Commit_has_Commit_sha_uc', 1)), ('constraint', ('Commit_has_Commit_sha_pid', 'uniqueness', 'Commit_has_Commit_sha', 'alethic')), ('spans', ('Commit_has_Commit_sha_pid', 2)), ('constraint', ('Commit_has_Commit_sha_mand', 'mandatory', 'Commit_has_Commit_sha', 'Commit', 'alethic')), ('spans', ('Commit_has_Commit_sha_mand', 1))), (('Commit_has_Commit_sha_uc', ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'not', 'null', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'and', ('CONS', ('COMP', 'eq', ('CONS', ('COMP', ('CONS', 1), 1), ('COMP', ('CONS', 1), 2))), ('COMP', 'not', 'eq'))), 1), 'apndl', 2)), 'theta:append_phi'), 'distl'), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', 'id', 'id'))), ('Commit_has_Commit_sha_pid', ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'not', 'null', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'and', ('CONS', ('COMP', 'eq', ('CONS', ('COMP', ('CONS', 2), 1), ('COMP', ('CONS', 2), 2))), ('COMP', 'not', 'eq'))), 1), 'apndl', 2)), 'theta:append_phi'), 'distl'), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', 'id', 'id'))), ('Commit_has_Commit_sha_mand', ('COMP', 'theta:setminus', ('CONS', ('COMP', 'theta:proj1', ('COMP', ('COND', ('COMP', 'eq', ('CONS', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Commit'), 'id')), ('CONST', '#'))), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COND', 'null', ('CONST', '#'), ('COMP', 3, 1)), ('COMP', ('INSERT', ('COND', ('COMP', ('COND', ('COMP', 'not', 'atom'), ('COND', ('COMP', 'eq', ('CONS', 'length', ('CONST', 3))), ('COMP', 'eq', ('CONS', 2, ('CONST', 'FILE'))), ('CONST', 'F')), ('CONST', 'F')), 1), 'apndl', 2)), 'theta:append_phi')), ('CONST', '#'))), ('CONST', ()), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Commit'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id'))), ('CONST', '#'))), ('CONST', ()), ('COMP', ('COMP', 'main:flat', ('ALPHA', 'ast:pop_exp')), ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Commit'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id')))))), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Commit'), 'id'))), 2)), ('COMP', 'theta:proj1', 1)))), ('Commit_has_Commit_sha_mand_e', ('COMP', 'theta:setminus', ('CONS', ('COMP', 'theta:proj1', 1), ('COMP', 'theta:proj1', ('COMP', ('COND', ('COMP', 'eq', ('CONS', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Commit_has_Commit_sha'), 'id')), ('CONST', '#'))), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COND', 'null', ('CONST', '#'), ('COMP', 3, 1)), ('COMP', ('INSERT', ('COND', ('COMP', ('COND', ('COMP', 'not', 'atom'), ('COND', ('COMP', 'eq', ('CONS', 'length', ('CONST', 3))), ('COMP', 'eq', ('CONS', 2, ('CONST', 'FILE'))), ('CONST', 'F')), ('CONST', 'F')), 1), 'apndl', 2)), 'theta:append_phi')), ('CONST', '#'))), ('CONST', ()), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Commit_has_Commit_sha'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id'))), ('CONST', '#'))), ('CONST', ()), ('COMP', ('COMP', 'main:flat', ('ALPHA', 'ast:pop_exp')), ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Commit_has_Commit_sha'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id')))))), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Commit_has_Commit_sha'), 'id'))), 2)))))))"
